iter	Logloss
257	0.2845881905
258	0.2840478694
259	0.2837220819
260	0.2833334658
261	0.2828829867
262	0.282727474
263	0.2817516015
264	0.2810774833
265	0.2808478289
266	0.2804975942
267	0.2801477735
268	0.279264585
269	0.278692284
270	0.2784564488
271	0.2779019451
272	0.2775174127
273	0.2769475674
274	0.2762206642
275	0.2753816518
276	0.2748245267
277	0.2739679101
278	0.273470882
279	0.2729999843
280	0.2724495643
281	0.2718886039
282	0.2712332763
283	0.270284086
284	0.2693306465
285	0.2689420855
286	0.2681195735
287	0.2675656492
288	0.2671090997
289	0.2663458569
290	0.2654325096
291	0.2645909862
292	0.2639457023
293	0.2635797122
294	0.2628754351
295	0.2626401242
296	0.2622262055
297	0.2613415822
298	0.2607925695
299	0.2600886787
300	0.2596329294
301	0.2589133935
302	0.258360904
303	0.2576352977
304	0.2572856425
305	0.256822112
306	0.2565671275
307	0.2560234677
308	0.2558500474
309	0.2553321868
310	0.2547137507
311	0.254247185
312	0.253493848
313	0.25303923
314	0.2528546346
315	0.2525005645
316	0.2515467939
317	0.2505128111
318	0.2502568884
319	0.2498910639
320	0.2490329572
321	0.2481453815
322	0.2474931995
323	0.2472414157
324	0.2469166768
325	0.246567739
326	0.2458774514
327	0.245320685
328	0.2447102232
329	0.2438826342
330	0.2434684119
331	0.2429050785
332	0.2424585728
333	0.2420262222
334	0.2418084051
335	0.2407765193
336	0.2402174076
337	0.2393535065
338	0.2391265562
339	0.2390439159
340	0.2380743622
341	0.2374912448
342	0.2369983833
343	0.2362980519
344	0.2353459368
345	0.23476373
346	0.2346604228
347	0.234492383
348	0.2339553179
349	0.2333758151
350	0.2332854213
351	0.2323856496
352	0.2316698663
353	0.2312149448
354	0.2305242157
355	0.2301912541
356	0.2295688309
357	0.2289069086
358	0.2284663215
359	0.2274866964
360	0.226940305
361	0.2264759467
362	0.2261119157
363	0.2257214784
364	0.2249984796
365	0.2243323219
366	0.2238754137
367	0.2235248203
368	0.2230886895
369	0.2225624683
370	0.2218097935
371	0.2212508888
372	0.2204052816
373	0.2200085808
374	0.2196796339
375	0.2192743793
376	0.2187851601
377	0.2181647097
378	0.2174077718
379	0.2169012795
380	0.2161348221
381	0.2157653691
382	0.2156665733
383	0.2153304247
384	0.2149493138
385	0.2144674204
386	0.2141212005
387	0.213766413
388	0.2132234706
389	0.2127297399
390	0.2125799527
391	0.2122117828
392	0.2115909737
393	0.2111365902
394	0.2105511689
395	0.2099594977
396	0.209503914
397	0.208831603
398	0.2085884006
399	0.2080197004
400	0.2074419774
401	0.2073099462
402	0.2070250235
403	0.2069496953
404	0.206831488
405	0.2064381811
406	0.2062998311
407	0.2055738937
408	0.2045566321
409	0.2042611415
410	0.2036504175
411	0.2035470689
412	0.2029978354
413	0.2026799946
414	0.2023306981
415	0.2020759067
416	0.20160603
417	0.2014185925
418	0.2009970168
419	0.2005474896
420	0.2001577698
421	0.1996095158
422	0.199059289
423	0.1985580392
424	0.1979702173
425	0.1975133367
426	0.1970562215
427	0.1963512408
428	0.196022018
429	0.195918559
430	0.1953550049
431	0.1951764109
432	0.1951237777
433	0.1943454693
434	0.1938946591
435	0.1932680003
436	0.1927955574
437	0.1920937361
438	0.1915346244
439	0.1908885127
440	0.1907479277
441	0.19054777
442	0.1902379725
443	0.1901076934
444	0.189879322
445	0.1897708136
446	0.1893093802
447	0.1887023675
448	0.188270279
449	0.1878009816
450	0.1874002936
451	0.1867016178
452	0.1862079561
453	0.1858971653
454	0.1855474411
455	0.1851273002
456	0.1847761136
457	0.1841658174
458	0.1838813086
459	0.1833811074
460	0.1830222086
461	0.182961339
462	0.1825941073
463	0.1819935788
464	0.1816733651
465	0.1816356458
466	0.1814952539
467	0.1812600948
468	0.1807543613
469	0.1806237096
470	0.1802449441
471	0.1798495953
472	0.179717026
473	0.1793457794
474	0.1789048336
475	0.1787662905
476	0.1782428286
477	0.1778787976
478	0.1772371698
479	0.1767555109
480	0.1761285348
481	0.1760481986
482	0.175601955
483	0.1750940692
484	0.1745770778
485	0.1742347484
486	0.1738324739
487	0.1734544809
488	0.1731103994
489	0.1727333998
490	0.1723966304
491	0.1719396256
492	0.1718027243
493	0.1716444385
494	0.1714904848
495	0.1709949606
496	0.1705846427
497	0.1700970514
498	0.1697813077
499	0.1692764709
500	0.1688817015
501	0.168343312
502	0.1680751933
503	0.1679952985
504	0.1679301659
505	0.1673641008
506	0.1673132474
507	0.1669414352
508	0.1665843575
509	0.1661117766
510	0.1657386952
511	0.1655148215
512	0.1650739171
513	0.1647629607
514	0.1642359118
515	0.1639224306
516	0.1632761534
517	0.16268491
518	0.1622510003
519	0.16193625
520	0.1617783091
521	0.1613715921
522	0.1611198221
523	0.1606658526
524	0.1604363637
525	0.1601239725
526	0.1597030867
527	0.1593130771
528	0.1592277465
529	0.1587373269
530	0.1582259231
531	0.1580632639
532	0.1580093614
533	0.1575094914
534	0.1571354855
535	0.1567895416
536	0.1563975039
537	0.1560759933
538	0.1555384315
539	0.1553886995
540	0.1548360307
541	0.1547562739
542	0.1542672615
543	0.1538879855
544	0.1537595413
545	0.1533082068
546	0.1529891796
547	0.152900124
548	0.152626404
549	0.1522478868
550	0.1517969938
551	0.1514838438
552	0.1510637167
553	0.1507713302
554	0.1504731907
555	0.1498393026
556	0.1493283679
557	0.1489195262
558	0.1485055109
559	0.1481483781
560	0.1475759805
561	0.1471773068
562	0.146767527
563	0.1466984761
564	0.1463905825
565	0.1462750793
566	0.1460106029
567	0.1456509591
568	0.1453656778
569	0.1449048376
570	0.1446640358
571	0.1444255103
572	0.1441518731
573	0.1440634108
574	0.1438096127
575	0.1434205965
576	0.1432358493
577	0.1431574169
578	0.1427907784
579	0.1425070146
580	0.1424130062
581	0.1423701408
582	0.1420223205
583	0.1417851471
584	0.1415217054
585	0.141347209
586	0.141053705
587	0.1409614348
588	0.1406789404
589	0.1403781243
590	0.1400465147
591	0.139944256
592	0.1396708672
593	0.139213214
594	0.1387904794
595	0.1384650092
596	0.1381317717
597	0.1377387131
598	0.1375227861
599	0.1373682667
600	0.1371486285
601	0.1367692007
602	0.1363449486
603	0.1361469844
604	0.1357950528
605	0.1354446802
606	0.1352133565
607	0.1349544814
608	0.1346544793
609	0.1344180923
610	0.1341941772
611	0.1339629638
612	0.133689368
613	0.1334868097
614	0.133272552
615	0.1330516722
616	0.1329869672
617	0.1326136788
618	0.132124901
619	0.1318354669
620	0.1317871244
621	0.1314037509
622	0.131030973
623	0.1306983701
624	0.1303692439
625	0.1301915742
626	0.1299935825
627	0.1295181182
628	0.1291961247
629	0.1289337177
630	0.1284686559
631	0.1282907793
632	0.1281608588
633	0.1278133835
634	0.1276344583
635	0.1272228988
636	0.1269623681
637	0.1267655767
638	0.1264926017
639	0.1264476945
640	0.1261783756
641	0.1261526178
642	0.1259581441
643	0.125545743
644	0.1251964741
645	0.1248524892
646	0.1246984113
647	0.1245230457
648	0.1243522604
649	0.1241392031
650	0.1239997356
651	0.1237908861
652	0.1237488486
653	0.1234180806
654	0.1233581767
655	0.1230807317
656	0.1229870682
657	0.1229086358
658	0.1226959785
659	0.1225031605
660	0.1222511146
661	0.1219625911
662	0.1217656341
663	0.1215418846
664	0.1214043348
665	0.1211319116
666	0.1210010668
667	0.1207965495
668	0.1205200978
669	0.1204001245
670	0.1203548035
671	0.1200331687
672	0.1198467935
673	0.1195956996
674	0.1192986913
675	0.1190749004
676	0.1188607393
677	0.1186194822
678	0.1183923526
679	0.1180358405
680	0.1178047237
681	0.1177749926
682	0.1174546546
683	0.1172800478
684	0.116892149
685	0.1168292652
686	0.1164815139
687	0.1161938319
688	0.1160299311
689	0.1158578627
690	0.1156949
691	0.1156470197
692	0.1153103814
693	0.1151198328
694	0.1149648237
695	0.1148591987
696	0.114727871
697	0.1145692059
698	0.1145488148
699	0.1143624741
700	0.1140958938
701	0.1138542434
702	0.1138189247
703	0.1135314981
704	0.1133430603
705	0.1132412707
706	0.1129764425
707	0.1126851804
708	0.112528833
709	0.1123737204
710	0.1120030465
711	0.1118383454
712	0.111683019
713	0.1114489497
714	0.1111348823
715	0.1109424229
716	0.1106602871
717	0.1105144733
718	0.1102455061
719	0.1100401954
720	0.1097600395
721	0.1095036339
722	0.1093252261
723	0.1090690827
724	0.1089713354
725	0.10863518
726	0.1083566933
727	0.1081958829
728	0.1080732124
729	0.1080035477
730	0.1078028794
731	0.1076261962
732	0.1073631615
733	0.1071631142
734	0.1070396228
735	0.1067626607
736	0.1067255899
737	0.1065800864
738	0.1063390225
739	0.1060154769
740	0.1058162159
741	0.1055618522
742	0.1055101434
743	0.1052324846
744	0.1052073959
745	0.1049252256
746	0.1047063945
747	0.1045516958
748	0.1042809903
749	0.1041604997
750	0.1039365915
751	0.1037735805
752	0.1037065646
753	0.1035799622
754	0.1034368939
755	0.1031876072
756	0.1028369173
757	0.1027083765
758	0.1024990166
759	0.1024557098
760	0.102347022
761	0.102267548
762	0.1021503133
763	0.1018679292
764	0.1017567995
765	0.1015066506
766	0.1014197541
767	0.1013783305
768	0.1012673318
769	0.1010757899
770	0.1008819854
771	0.1006279528
772	0.1005318749
773	0.1004556293
774	0.1002614798
775	0.09997244589
776	0.09984135968
777	0.09982154809
778	0.09979626624
779	0.09973050584
780	0.09950743922
781	0.09937278665
782	0.09919350281
783	0.09892143839
784	0.0987887518
785	0.09855286835
786	0.0984595773
787	0.098176393
788	0.09794046816
789	0.09780560175
790	0.09758657057
791	0.09735899944
792	0.0972241951
793	0.09703503307
794	0.09697890943
795	0.09677768247
796	0.09665824729
797	0.09655392604
798	0.09631990511
799	0.09619520661
